Are you currently enrolled in college?,What is your cumulative GPA range?,What is the total income of your primary household?,"In the last month, how often have you been upset because of something that happened unexpectedly?","In the last month, how often have you felt that you were unable to control the important things in your life?","In the last month, how often have you felt nervous and stressed?","In the last month, how often have you felt confident about your ability to handle your personal problems?","In the last month, how often have you felt that things were going your way?","In the last month, how often have you found that you could not cope with all the things that you had to do?","In the last month, how often have you been able to control irritations in your life?","In the last month, how often have you felt that you were on top of things?","In the last month, how often have you been angered because of things that happened that were outside of your control?","In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",1. I tend to bounce back quickly after hard times,2. I have a hard time making it through stressful events,3. It does not take me long to recover from a stressful event.,4. It is hard for me to snap back when something bad happens.,5. I usually come through difficult times with little trouble.,6. I tend to take a long time to get over set-backs in my life.,"During the last 12 months, was there a time when, because of lack of money or other resources you were worried you would not have enough food to eat?","During the last 12 months, was there a time when, because of lack of money or other resources you were unable to eat healthy and nutritious food?","During the last 12 months, was there a time when, because of lack of money or other resources you ate only a few kinds of foods?","During the last 12 months, was there a time when, because of lack of money or other resources you had to skip a meal?","During the last 12 months, was there a time when, because of lack of money or other resources you ate less than you thought you should?","During the last 12 months, was there a time when, because of lack of money or other resources your household ran out of food?","During the last 12 months, was there a time when, because of lack of money or other resources you were hungry but did not eat?","During the last 12 months, was there a time when, because of lack of money or other resources you went without eating for a whole day?","On an average week, how many times do you consume whole grain products? (e.g., whole grain bread, whole grain cereal, brown rice or whole wheat pasta","On an average week, how many times do you consume dairy products?(e.g., milk, cheese, yogurt …etc.)","On an average week, how many times do you consume coffee or other sources of caffeine?(e.g., soda, tea, chocolate, energy drink …etc.)","On an average week, how many times do you consume fruits?","On an average week, how many times do you consume nuts, including flaxseed?","On an average week, how many times do you consume rice and/or pasta?","On an average week, how many times do you consume red meat, chicken, or turkey?","On an average week, how many times do you consume dark green leafy vegetables?(e.g., spinach, kale, lettuce …etc.)","On an average week, how many times do you consume beans?(e.g. black beans, black-eyed peas, lentils, lima beans, soy nuts …etc.)","On an average week, how many times do you consume fish and/or shellfish (including sardines and tuna)?","On an average week, how many times do you consume fast foods and/or pre-made or packaged food?","On average week, how many times do you take multivitamin supplements?","On average week, how many times do you take fish oil supplements?",K10_total,RS_total,GPA_factor,FIES_total,income_factor,Healthy_Score,Unhealthy_Score,The effects of stress are negative and should be avoided.,Experiencing stress facilitates my learning and growth.,Experiencing stress depletes my health and vitality.,Experiencing stress enhances my performance and productivity.,Experiencing stress inhibits my learning and growth.,Experiencing stress improves my health and vitality.,Experiencing stress debilitates my performance and productivity.,The effects of stress are positive and should be utilized.,Physical_Activity,BRS_Score,BRS_Score_Interpretation,SMM,SMM_Interpretation,activity_ordinal,Gender
Yes,3.7-4.0,"$90,000 to $99,999",3,3,4,3,4,2,5,3,4,3,4,2,4,4,3,5,0,0,0,0,0,0,0,0,0,3,5,3,0,3,5,5,0,2,2,0,0,34,22,3.7-4.0,0,"$90,000 to $99,999",13,7,2,3,1,3,1,0,3,2,3 times,22,High resilience,15,Neutral/Mixed Mindset,3,Male
No,Not applicable,"$100,000 to $149,999",3,3,3,4,3,2,4,3,2,2,4,4,4,5,4,4,0,0,0,0,0,0,0,0,3,1,5,3,3,5,3,4,4,2,1,5,5,29,25,NA,0,"$100,000 to $149,999",17,6,2,3,1,3,1,1,2,1,4 times,25,High resilience,14,Neutral/Mixed Mindset,4,Female
No,3.0-3.39,"$250,000 or more",2,3,2,4,3,4,3,4,2,2,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1,5,5,3,1,3,5,3,1,1,1,0,0,29,30,3.0-3.39,0,"$250,000 or more",14,6,2,2,1,0,2,3,1,0,None,30,High resilience,11,Neutral/Mixed Mindset,0,Male
No,3.7-4.0,"$30,000 to $39,999",4,3,4,3,3,3,3,2,4,3,3,2,2,2,2,3,0,1,1,1,1,0,0,0,0,3,2,3,1,5,4,4,1,4,4,0,0,32,14,3.7-4.0,4,"$30,000 to $39,999",15,6,3,3,1,3,1,1,1,2,3 times,14,Normal resilience,15,Neutral/Mixed Mindset,3,Female
No,3.0-3.39,"$250,000 or more",2,2,3,4,3,2,2,2,2,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,3,2,4,5,3,4,3,3,1,0,0,0,24,24,3.0-3.39,0,"$250,000 or more",16,2,2,2,1,2,3,1,3,2,5 times,24,High resilience,16,Neutral/Mixed Mindset,5,Female
No,3.4-3.69,"$100,000 to $149,999",3,3,3,5,4,3,3,3,3,2,4,2,4,3,4,3,0,0,0,0,0,0,0,0,0,5,5,5,5,4,5,5,1,1,1,4,0,32,20,3.4-3.69,0,"$100,000 to $149,999",17,6,2,1,1,1,1,1,1,1,6-7 times,20,Normal resilience,9,Stress-is-Debilitating Mindset,6,Female
Yes,3.7-4.0,"$250,000 or more",4,4,3,4,1,3,3,3,4,3,3,2,4,3,2,1,0.5,0,0,0,0,0,0,0,2,4,5,2,0,5,5,5,0,0,2,5,1,32,15,3.7-4.0,0.5,"$250,000 or more",13,7,1,2,1,1,3,0,1,0,6-7 times,15,Normal resilience,9,Stress-is-Debilitating Mindset,6,Male
Yes,3.4-3.69,"$60,000 to $69,999",1,3,2,5,4,2,4,4,3,2,5,4,5,4,2,4,1,1,1,0,1,0,0,0,2,3,3,3,3,5,4,3,1,0,3,0,0,30,24,3.4-3.69,4,"$60,000 to $69,999",12,6,3,2,3,3,2,2,4,3,5 times,24,High resilience,22,Stress-is-Enhancing Mindset,5,Male
No,3.7-4.0,"$250,000 or more",3,3,3,4,4,2,3,3,3,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,3,5,5,3,5,5,5,3,3,2,5,5,30,24,3.7-4.0,0,"$250,000 or more",23,7,1,1,1,3,1,1,1,1,6-7 times,24,High resilience,10,Stress-is-Debilitating Mindset,6,Female
No,Not applicable,"$250,000 or more",3,2,3,4,4,2,4,4,2,2,5,3,5,4,5,4,0,0,0,0,0,0,0,0,1,1,5,5,5,1,4,5,1,4,2,5,0,30,26,NA,0,"$250,000 or more",17,7,4,3,3,3,3,3,3,3,4 times,26,High resilience,25,Stress-is-Enhancing Mindset,4,Female
